SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionVillage,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto
7578,7577,2017-12-29,"Village Headmen","Village Results","Foofoo Water",Conteh,Nabieu,I,808080,91,,Yes,Provisional,
7793,7792,2017-12-29,"Village Headmen","Village Results",Rogbonga,Kamara,Saidu,I,808080,90,,Yes,Final/Certified,
7708,7707,2017-12-29,"Village Headmen","Village Results",Lakka,Douglas,Tommy,I,808080,87,,No,Final/Certified,
7471,7470,2017-12-29,"Village Headmen","Village Results",Bathurst,Aitkins,"Elfrida Omolade",I,808080,87,,No,Final/Certified,
7562,7561,2017-12-29,"Village Headmen","Village Results","Five Mile",Davies,Solomon,I,808080,82,,No,Final/Certified,
7791,7789,2017-12-29,"Village Headmen","Village Results",Rogbonga,Gbla,"Amadu Haroun",I,808080,79,,No,Final/Certified,
7665,7663,2017-12-29,"Village Headmen","Village Results","Kissi Town I",Unity,Dennis,I,808080,78,,No,Final/Certified,
7553,7551,2017-12-29,"Village Headmen","Village Results","Durblin Banana Island",Sackey,Veronica,I,808080,70,,Yes,Final/Certified,
7771,7769,2017-12-29,"Village Headmen","Village Results",Makomba,Sesay,"Osman Tilo",I,808080,68,,No,Final/Certified,
7763,7762,2017-12-29,"Village Headmen","Village Results",Magbafti,Conteh,Mohamed,I,808080,65,,No,Final/Certified,
7778,7777,2017-12-29,"Village Headmen","Village Results",Makono,Kamara,Lamin,I,808080,63,,Yes,Final/Certified,
7783,7781,2017-12-29,"Village Headmen","Village Results",Rogberay,Conteh,Alie,I,808080,60,,Yes,Final/Certified,
7555,7554,2017-12-29,"Village Headmen","Village Results","Durblin Banana Island",Sharpe,Wilfred,I,808080,60,,No,Final/Certified,
7678,7677,2017-12-29,"Village Headmen","Village Results","Kissi Town II",Kamara,Gibrilla,I,808080,59,,No,Final/Certified,
7822,7821,2017-12-29,"Village Headmen","Village Results",Matindi,Kamara,"Horatio Ngb",I,808080,54,,No,Final/Certified,
7860,7859,2017-12-29,"Village Headmen","Village Results",Torigehun,Cole,"John Victor",I,808080,54,,Yes,Final/Certified,
7858,7856,2017-12-29,"Village Headmen","Village Results",Torigehun,Cole,Ola,I,808080,45,,No,Final/Certified,
7683,7681,2017-12-29,"Village Headmen","Village Results","Kosso Middle Town",Williams,"John Emmanuel",I,808080,45,,No,Final/Certified,
7533,7532,2017-12-29,"Village Headmen","Village Results",Charlotte,Harding,"Raymond Prince",I,808080,44,,No,Final/Certified,
7497,7496,2017-12-29,"Village Headmen","Village Results","Bonga Warf",Turay,Osman,I,808080,43,,No,Final/Certified,
7689,7688,2017-12-29,"Village Headmen","Village Results","Kosso Middle Town",Williams,Nathaniel,I,808080,41,,No,Final/Certified,
7753,7752,2017-12-29,"Village Headmen","Village Results",Mafonikay,Kargbo,Alimamy,I,808080,41,,Yes,Final/Certified,
7751,7749,2017-12-29,"Village Headmen","Village Results",Mafonikay,Kamara,Alie,I,808080,39,,No,Final/Certified,
7586,7584,2017-12-29,"Village Headmen","Village Results",Gbovehun,Conteh,"Abdulai Alie",I,808080,39,,Yes,Final/Certified,
7759,7757,2017-12-29,"Village Headmen","Village Results",Magbafti,Mansaray,Aruna,I,808080,38,,No,Final/Certified,
7776,7774,2017-12-29,"Village Headmen","Village Results",Makono,Conteh,"Alie Moi",I,808080,35,,No,Final/Certified,
7574,7572,2017-12-29,"Village Headmen","Village Results","Foofoo Water",Kargbo,Alimamy,I,808080,32,,No,Final/Certified,
7593,7592,2017-12-29,"Village Headmen","Village Results",Gloucester,Kanu,"Francis Sorie",I,808080,28,,No,Final/Certified,
7576,7575,2017-12-29,"Village Headmen","Village Results","Foofoo Water",Conteh,Sullay,I,808080,28,,No,Final/Certified,
7529,7528,2017-12-29,"Village Headmen","Village Results",Charlotte,Taylor,Akiebola,I,808080,26,,No,Final/Certified,
7766,7764,2017-12-29,"Village Headmen","Village Results",Magbampor,Sesay,Abubakarr,I,808080,25,,Yes,Final/Certified,
7768,7767,2017-12-29,"Village Headmen","Village Results",Magbampor,Sesay,Alie,I,808080,13,,No,Final/Certified,
7855,7854,2017-12-29,"Village Headmen","Village Results",Tombo,Sesay,Sassipo,I,808080,8,,No,Final/Certified,
7455,7454,2017-12-29,"Village Headmen","Village Results","Ategbe Town",Koroma,"Fouad Alim",I,808080,5,,No,Final/Certified,
