SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
34373,34372,2018-03-07,Councillors,"Ward Results","Ward 249",Mansaray,Alice,NGC,4B0082,483,11.24,No,Final/Certified,female-profile-blank-photo.png,"First Round"
29987,29986,2018-03-07,Councillors,"Ward Results","Ward 303",Kamara,Bobb,APC,FF333C,483,8.60,No,Provisional,male-blank-profile-photo.png,"First Round"
32823,32822,2018-03-07,Councillors,"Ward Results","Ward 323",Baylay,Jamie,APC,FF333C,482,8.91,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34197,34196,2018-03-07,Councillors,"Ward Results","Ward 236",Kamara,Santigie,ADP,FF339F,481,6.86,No,Final/Certified,male-blank-profile-photo.png,"First Round"
29949,29948,2018-03-07,Councillors,"Ward Results","Ward 277",Kamara,Alie,APC,FF333C,481,14.03,No,Provisional,male-blank-profile-photo.png,"First Round"
32481,32480,2018-03-07,Councillors,"Ward Results","Ward 333",Bah,Amadu,CDP,F1C40F,476,7.40,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34357,34356,2018-03-07,Councillors,"Ward Results","Ward 250",Conteh,Warah,SLPP,009900,471,9.68,No,Final/Certified,female-profile-blank-photo.png,"First Round"
32423,32422,2018-03-07,Councillors,"Ward Results","Ward 327",Kamara,Foday,NGC,4B0082,469,9.35,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30768,30767,2018-03-07,Councillors,"Ward Results","Ward 159",Koroma,Koyie,SLPP,009900,466,33.69,No,Provisional,male-blank-profile-photo.png,"First Round"
30109,30108,2018-03-07,Councillors,"Ward Results","Ward 296",Misaking,Augustione,APC,FF333C,465,9.26,No,Provisional,male-blank-profile-photo.png,"First Round"
33231,33230,2018-03-07,Councillors,"Ward Results","Ward 362",Fawundu,Natherniel,APC,FF333C,464,16.19,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34545,34544,2018-03-07,Councillors,"Ward Results","Ward 001",Focko,John,I,808080,464,21.02,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33951,33950,2018-03-07,Councillors,"Ward Results","Ward 189",Fofanah,Osman,I,808080,463,7.36,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34209,34208,2018-03-07,Councillors,"Ward Results","Ward 237",Bangura,Alie,ADP,FF339F,462,7.49,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33500,33499,2018-03-07,Councillors,"Ward Results","Ward 038",Samah,Mohamed,CDP,F1C40F,461,7.44,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34129,34128,2018-03-07,Councillors,"Ward Results","Ward 206",Conteh,Bainga,SLPP,009900,461,10.80,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32583,32582,2018-03-07,Councillors,"Ward Results","Ward 341",Sandi,Magnus,APC,FF333C,460,5.85,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32855,32854,2018-03-07,Councillors,"Ward Results","Ward 326",Musa,Harry,NGC,4B0082,460,6.25,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30139,30138,2018-03-07,Councillors,"Ward Results","Ward 265",Keta,Mamudu,NGC,4B0082,457,8.39,No,Provisional,male-blank-profile-photo.png,"First Round"
30452,30451,2018-03-07,Councillors,"Ward Results","Ward 136",Marah,Mohamed,C4C,D68910,454,17.78,No,Provisional,male-blank-profile-photo.png,"First Round"
30394,30393,2018-03-07,Councillors,"Ward Results","Ward 131",Sesay,Mohamed,SLPP,009900,453,13.75,No,Provisional,male-blank-profile-photo.png,"First Round"
33703,33702,2018-03-07,Councillors,"Ward Results","Ward 053",Tarawally,Frank,NGC,4B0082,453,11.48,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33516,33515,2018-03-07,Councillors,"Ward Results","Ward 040",Desmond,Kposowa,APC,FF333C,451,8.21,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32705,32704,2018-03-07,Councillors,"Ward Results","Ward 313",Koroma,Idrissa,APC,FF333C,451,14.90,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33630,33629,2018-03-07,Councillors,"Ward Results","Ward 046",Sellu,Mohamed,APC,FF333C,451,6.34,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32779,32778,2018-03-07,Councillors,"Ward Results","ward 321",Coomber,Williams,CDP,F1C40F,449,10.95,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33325,33324,2018-03-07,Councillors,"Ward Results","Ward 369",Odokay,Thomas,SLPP,009900,449,16.97,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30526,30525,2018-03-07,Councillors,"Ward Results","Ward 130",Turay,Lahai,SLPP,009900,444,25.58,No,Provisional,male-blank-profile-photo.png,"First Round"
29927,29926,2018-03-07,Councillors,"Ward Results","Ward 289",Ghandi,Joseph,APC,FF333C,443,7.24,No,Provisional,male-blank-profile-photo.png,"First Round"
30806,30805,2018-03-07,Councillors,"Ward Results","Ward 155",Marah,Job,NGC,4B0082,443,14.33,No,Provisional,male-blank-profile-photo.png,"First Round"
33909,33908,2018-03-07,Councillors,"Ward Results","Ward 070",Kamara,Alusine,APC,FF333C,443,10.55,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33887,33886,2018-03-07,Councillors,"Ward Results","Ward 068",Lahai,Abdulai,NGC,4B0082,441,7.95,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30077,30076,2018-03-07,Councillors,"Ward Results","Ward 295",Ansumana,Mohamed,NGC,4B0082,441,9.20,No,Provisional,male-blank-profile-photo.png,"First Round"
33725,33724,2018-03-07,Councillors,"Ward Results","Ward 056",Gondo,Ernest,APC,FF333C,440,11.46,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30460,30459,2018-03-07,Councillors,"Ward Results","Ward 131",Jawara,Issa,C4C,D68910,440,13.35,No,Provisional,male-blank-profile-photo.png,"First Round"
34353,34352,2018-03-07,Councillors,"Ward Results","Ward 248",Sesay,Alimamy,CDP,F1C40F,440,6.47,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34706,34705,2018-03-07,Councillors,"Ward Results","Ward 014",Momoh,Amie,APC,FF333C,439,5.50,No,Final/Certified,female-profile-blank-photo.png,"First Round"
34365,34364,2018-03-07,Councillors,"Ward Results","Ward 249",Bangura,Ibrahim,C4C,D68910,439,10.22,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32485,32484,2018-03-07,Councillors,"Ward Results","Ward 333",Dumbuya,Alusine,NGC,4B0082,439,6.62,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30476,30475,2018-02-07,Councillors,"Ward Results","Ward 131",marah,Banja,NGC,4B0082,438,13.29,No,Provisional,male-blank-profile-photo.png,"First Round"
30810,30809,2018-03-07,Councillors,"Ward Results","Ward 146",Kargbo,Jenku,SLPP,009900,437,13.76,No,Provisional,male-blank-profile-photo.png,"First Round"
33715,33714,2018-03-07,Councillors,"Ward Results","Ward 054",Vawah,Emmanuel,NGC,4B0082,436,10.74,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34591,34590,2018-03-07,Councillors,"Ward Results","Ward 005",Chokpelleh,Ibrahim,NGC,4B0082,436,18.00,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32631,32630,2018-03-07,Councillors,"Ward Results","Ward 345",Coker,Alfred,NGC,4B0082,436,8.36,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33195,33194,2018-03-07,Councillors,"Ward Results","Ward 359",Kamara,Vandy,NGC,4B0082,435,9.59,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32785,32784,2018-03-07,Councillors,"Ward Results","ward 321",Katta,Alhaji,NGC,4B0082,435,10.60,No,Final/Certified,male-blank-profile-photo.png,"First Round"
